group,count
Volkswagen Group,858910
Stellantis,319942
BMW Group,273353
Renault Group,254972
Mercedes-Benz,236208
Toyota,180785
Hyundai Group,139503
Ford,105161
Geely,86284
Tesla,56975
Mazda,56109
Tata,38831
Honda,31627
Subaru,29468
Other,22397
SAIC,4937
GM,3047
BYD,1354
