year,month,drive,count
2023,4,AWD,9464
2023,4,FWD,7630
2023,4,RWD,1042
2023,5,AWD,10782
2023,5,FWD,9534
2023,5,RWD,1274
2023,6,AWD,12633
2023,6,FWD,10906
2023,6,RWD,1634
2023,7,AWD,9426
2023,7,FWD,7845
2023,7,Other,1
2023,7,RWD,1146
2023,8,AWD,9471
2023,8,FWD,8233
2023,8,RWD,1330
2023,9,AWD,11003
2023,9,FWD,9214
2023,9,RWD,1461
2023,10,AWD,10837
2023,10,FWD,8290
2023,10,RWD,1145
2023,11,AWD,11245
2023,11,FWD,9332
2023,11,RWD,1441
2023,12,AWD,14280
2023,12,FWD,10299
2023,12,RWD,2279
2024,1,AWD,8122
2024,1,FWD,6532
2024,1,RWD,732
2024,2,AWD,9563
2024,2,FWD,7976
2024,2,RWD,1037
2024,3,AWD,12793
2024,3,FWD,9676
2024,3,RWD,1289
2024,4,AWD,10497
2024,4,FWD,8400
2024,4,Other,1
2024,4,RWD,967
2024,5,AWD,11040
2024,5,FWD,8939
2024,5,RWD,1261
2024,6,AWD,11631
2024,6,FWD,9807
2024,6,RWD,1413
2024,7,AWD,9058
2024,7,FWD,8045
2024,7,RWD,1088
2024,8,AWD,8130
2024,8,FWD,6839
2024,8,RWD,1066
2024,9,AWD,10660
2024,9,FWD,8267
2024,9,RWD,1246
2024,10,AWD,9715
2024,10,FWD,8048
2024,10,RWD,890
2024,11,AWD,9900
2024,11,FWD,8773
2024,11,RWD,1122
2024,12,AWD,13450
2024,12,FWD,9903
2024,12,RWD,1634
2025,1,AWD,7693
2025,1,FWD,6676
2025,1,RWD,614
2025,2,AWD,8134
2025,2,FWD,7323
2025,2,RWD,829
2025,3,AWD,11265
2025,3,FWD,9428
2025,3,RWD,1135
2025,4,AWD,9386
2025,4,FWD,8283
2025,4,RWD,941
2025,5,AWD,9945
2025,5,FWD,8964
2025,5,RWD,1119
2025,6,AWD,11046
2025,6,FWD,10066
2025,6,Other,1
2025,6,RWD,1558
2025,7,AWD,9412
2025,7,FWD,8021
2025,7,RWD,1115
2025,8,AWD,7922
2025,8,FWD,7518
2025,8,RWD,826
2025,9,AWD,10081
2025,9,FWD,8377
2025,9,RWD,1518
2025,10,AWD,9283
2025,10,FWD,8223
2025,10,RWD,1050
2025,11,AWD,9907
2025,11,FWD,8596
2025,11,Other,1
2025,11,RWD,1138
2025,12,AWD,14350
2025,12,FWD,10470
2025,12,RWD,1646
2026,1,AWD,7217
2026,1,FWD,6395
2026,1,RWD,590
2026,2,AWD,7591
2026,2,FWD,7182
2026,2,RWD,749
